metric,state,species_1,survey_type,survey_type_effort,sampling_method,target_species_1,target_species_2,area_group,month_min,month_max,effort_min,water_temp_min,water_temp_max
adult_abundance,Illinois,northern_pike,Community Sample,,Boat electrofishing DC -- Wisconsin,,,,,,,,
adult_abundance,Indiana,black_crappie,,,gill_net,,,,,,,,
adult_abundance,Indiana,black_crappie,,,trap_net,,,,,,,,
adult_abundance,Indiana,bluegill,,,gill_net,,,,,,,,
adult_abundance,Indiana,bluegill,,,trap_net,,,,,,,,
adult_abundance,Indiana,bluegill,,,electrofishing,,,,,,,,
adult_abundance,Indiana,cisco,,,gill_net,,,,,,,,
adult_abundance,Indiana,largemouth_bass,,,electrofishing,,,,,,,,
adult_abundance,Indiana,largemouth_bass,,,trap_net,,,,,,,,
adult_abundance,Indiana,northern_pike,,,gill_net,,,,,,,,
adult_abundance,Indiana,smallmouth_bass,,,electrofishing,,,,,,,,
adult_abundance,Indiana,walleye,,,electrofishing,,,,,,,,
adult_abundance,Indiana,walleye,,,gill_net,,,,,,,,
adult_abundance,Indiana,yellow_perch,,,electrofishing,,,,,,,,
adult_abundance,Indiana,yellow_perch,,,gill_net,,,,,,,,
adult_abundance,Iowa,black_crappie,,,EFishing,,,,,,,,
adult_abundance,Iowa,black_crappie,,,Fyke Netting,,,,,,,,
adult_abundance,Iowa,black_crappie,,,Hoop Netting,,,,,,,,
adult_abundance,Iowa,bluegill,,,EFishing,,,,,,,,
adult_abundance,Iowa,bluegill,,,Fyke Netting,,,,,,,,
adult_abundance,Iowa,bluegill,,,Hoop Netting,,,,,,,,
adult_abundance,Iowa,largemouth_bass,,,EFishing,,,,,,,,
adult_abundance,Iowa,largemouth_bass,,,Fyke Netting,,,,,,,,
adult_abundance,Iowa,northern_pike,,,EFishing,,,,,,,,
adult_abundance,Iowa,northern_pike,,,Fyke Netting,,,,,,,,
adult_abundance,Iowa,northern_pike,,,Hoop Netting,,,,,,,,
adult_abundance,Iowa,northern_pike,,,Gill Netting,,,,,,,,
adult_abundance,Iowa,smallmouth_bass,,,EFishing,,,,,,,,
adult_abundance,Iowa,walleye,,,EFishing,,,,,,,,
adult_abundance,Iowa,walleye,,,Fyke Netting,,,,,,,,
adult_abundance,Iowa,yellow_perch,,,EFishing,,,,,,,,
adult_abundance,Iowa,yellow_perch,,,Fyke Netting,,,,,,,,
adult_abundance,Michigan,black_crappie,Status & Trends,,large_mesh_fyke_net,,,,,,2,,
adult_abundance,Michigan,black_crappie,Status & Trends,,trap_net,,,,,,2,,
adult_abundance,Michigan,black_crappie,Status & Trends,,inland_gill_net,,,,,,2,,
adult_abundance,Michigan,black_crappie,Status & Trends,,boomshocking,,,,,,30,,
adult_abundance,Michigan,bluegill,Status & Trends,,large_mesh_fyke_net,,,,,,2,,
adult_abundance,Michigan,bluegill,Status & Trends,,trap_net,,,,,,2,,
adult_abundance,Michigan,bluegill,Status & Trends,,inland_gill_net,,,,,,2,,
adult_abundance,Michigan,bluegill,Status & Trends,,boomshocking,,,,,,30,,
adult_abundance,Michigan,largemouth_bass,Status & Trends,,large_mesh_fyke_net,,,,,,2,,
adult_abundance,Michigan,largemouth_bass,Status & Trends,,trap_net,,,,,,2,,
adult_abundance,Michigan,largemouth_bass,Status & Trends,,boomshocking,,,,,,30,,
adult_abundance,Michigan,northern_pike,Status & Trends,,large_mesh_fyke_net,,,,,,2,,
adult_abundance,Michigan,northern_pike,Status & Trends,,trap_net,,,,,,2,,
adult_abundance,Michigan,northern_pike,Status & Trends,,inland_gill_net,,,,,,2,,
adult_abundance,Michigan,northern_pike,Status & Trends,,boomshocking,,,,,,30,,
adult_abundance,Michigan,smallmouth_bass,Status & Trends,,large_mesh_fyke_net,,,,,,2,,
adult_abundance,Michigan,smallmouth_bass,Status & Trends,,trap_net,,,,,,2,,
adult_abundance,Michigan,smallmouth_bass,Status & Trends,,boomshocking,,,,,,30,,
adult_abundance,Michigan,walleye,Status & Trends,,large_mesh_fyke_net,,,,,,2,,
adult_abundance,Michigan,walleye,Status & Trends,,trap_net,,,,,,2,,
adult_abundance,Michigan,walleye,Status & Trends,,inland_gill_net,,,,,,2,,
adult_abundance,Michigan,walleye,Status & Trends,,boomshocking,,,,,,30,,
adult_abundance,Michigan,yellow_perch,Status & Trends,,large_mesh_fyke_net,,,,,,2,,
adult_abundance,Michigan,yellow_perch,Status & Trends,,trap_net,,,,,,2,,
adult_abundance,Michigan,yellow_perch,Status & Trends,,boomshocking,,,,,,30,,
adult_abundance,Michigan,yellow_perch,Status & Trends,,inland_gill_net,,,,,,2,,
adult_abundance,Michigan,cisco,Status & Trends,,inland_gill_net,,,,,,2,,
adult_abundance,Minnesota,black_crappie,HISTORICAL,,"Standard 3/4-in mesh, double frame trap net sets",,,<100,6,10,4,,
adult_abundance,Minnesota,black_crappie,HISTORICAL,,"Standard 3/4-in mesh, double frame trap net sets",,,100-300,6,10,4,,
adult_abundance,Minnesota,black_crappie,HISTORICAL,,"Standard 3/4-in mesh, double frame trap net sets",,,1501+,6,10,4,,
adult_abundance,Minnesota,black_crappie,HISTORICAL,,"Standard 3/4-in mesh, double frame trap net sets",,,301-600,6,10,4,,
adult_abundance,Minnesota,black_crappie,HISTORICAL,,"Standard 3/4-in mesh, double frame trap net sets",,,601-1500,6,10,4,,
adult_abundance,Minnesota,black_crappie,Large Lake Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,<100,6,10,4,,
adult_abundance,Minnesota,black_crappie,Large Lake Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,100-300,6,10,4,,
adult_abundance,Minnesota,black_crappie,Large Lake Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,1501+,6,10,4,,
adult_abundance,Minnesota,black_crappie,Large Lake Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,301-600,6,10,4,,
adult_abundance,Minnesota,black_crappie,Large Lake Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,601-1500,6,10,4,,
adult_abundance,Minnesota,black_crappie,Population Assessment,,"Standard 3/4-in mesh, double frame trap net sets",,,<100,6,10,4,,
adult_abundance,Minnesota,black_crappie,Population Assessment,,"Standard 3/4-in mesh, double frame trap net sets",,,100-300,6,10,4,,
adult_abundance,Minnesota,black_crappie,Population Assessment,,"Standard 3/4-in mesh, double frame trap net sets",,,1501+,6,10,4,,
adult_abundance,Minnesota,black_crappie,Population Assessment,,"Standard 3/4-in mesh, double frame trap net sets",,,301-600,6,10,4,,
adult_abundance,Minnesota,black_crappie,Population Assessment,,"Standard 3/4-in mesh, double frame trap net sets",,,601-1500,6,10,4,,
adult_abundance,Minnesota,black_crappie,Standard Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,<100,6,10,4,,
adult_abundance,Minnesota,black_crappie,Standard Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,100-300,6,10,4,,
adult_abundance,Minnesota,black_crappie,Standard Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,1501+,6,10,4,,
adult_abundance,Minnesota,black_crappie,Standard Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,301-600,6,10,4,,
adult_abundance,Minnesota,black_crappie,Standard Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,601-1500,6,10,4,,
adult_abundance,Minnesota,black_crappie,HISTORICAL,,Standard gill net sets,,,<100,6,10,2,,
adult_abundance,Minnesota,black_crappie,HISTORICAL,,Standard gill net sets,,,100-300,6,10,3,,
adult_abundance,Minnesota,black_crappie,HISTORICAL,,Standard gill net sets,,,1501+,6,10,5,,
adult_abundance,Minnesota,black_crappie,HISTORICAL,,Standard gill net sets,,,301-600,6,10,3,,
adult_abundance,Minnesota,black_crappie,HISTORICAL,,Standard gill net sets,,,601-1500,6,10,3,,
adult_abundance,Minnesota,black_crappie,Large Lake Survey,,Standard gill net sets,,,<100,6,10,2,,
adult_abundance,Minnesota,black_crappie,Large Lake Survey,,Standard gill net sets,,,100-300,6,10,3,,
adult_abundance,Minnesota,black_crappie,Large Lake Survey,,Standard gill net sets,,,1501+,6,10,5,,
adult_abundance,Minnesota,black_crappie,Large Lake Survey,,Standard gill net sets,,,301-600,6,10,3,,
adult_abundance,Minnesota,black_crappie,Large Lake Survey,,Standard gill net sets,,,601-1500,6,10,3,,
adult_abundance,Minnesota,black_crappie,Population Assessment,,Standard gill net sets,,,<100,6,10,2,,
adult_abundance,Minnesota,black_crappie,Population Assessment,,Standard gill net sets,,,100-300,6,10,3,,
adult_abundance,Minnesota,black_crappie,Population Assessment,,Standard gill net sets,,,1501+,6,10,5,,
adult_abundance,Minnesota,black_crappie,Population Assessment,,Standard gill net sets,,,301-600,6,10,3,,
adult_abundance,Minnesota,black_crappie,Population Assessment,,Standard gill net sets,,,601-1500,6,10,3,,
adult_abundance,Minnesota,black_crappie,Standard Survey,,Standard gill net sets,,,<100,6,10,2,,
adult_abundance,Minnesota,black_crappie,Standard Survey,,Standard gill net sets,,,100-300,6,10,3,,
adult_abundance,Minnesota,black_crappie,Standard Survey,,Standard gill net sets,,,1501+,6,10,5,,
adult_abundance,Minnesota,black_crappie,Standard Survey,,Standard gill net sets,,,301-600,6,10,3,,
adult_abundance,Minnesota,black_crappie,Standard Survey,,Standard gill net sets,,,601-1500,6,10,3,,
adult_abundance,Minnesota,black_crappie,Targeted Survey,,Standard gill net sets,,,<100,6,10,2,,
adult_abundance,Minnesota,black_crappie,Targeted Survey,,Standard gill net sets,,,100-300,6,10,3,,
adult_abundance,Minnesota,black_crappie,Targeted Survey,,Standard gill net sets,,,1501+,6,10,5,,
adult_abundance,Minnesota,black_crappie,Targeted Survey,,Standard gill net sets,,,301-600,6,10,3,,
adult_abundance,Minnesota,black_crappie,Targeted Survey,,Standard gill net sets,,,601-1500,6,10,3,,
adult_abundance,Minnesota,black_crappie,HISTORICAL,,"Standard gill nets, set shallow in stratified assessment",,,<100,6,10,2,,
adult_abundance,Minnesota,black_crappie,HISTORICAL,,"Standard gill nets, set shallow in stratified assessment",,,100-300,6,10,3,,
adult_abundance,Minnesota,black_crappie,HISTORICAL,,"Standard gill nets, set shallow in stratified assessment",,,1501+,6,10,5,,
adult_abundance,Minnesota,black_crappie,HISTORICAL,,"Standard gill nets, set shallow in stratified assessment",,,301-600,6,10,3,,
adult_abundance,Minnesota,black_crappie,HISTORICAL,,"Standard gill nets, set shallow in stratified assessment",,,601-1500,6,10,3,,
adult_abundance,Minnesota,black_crappie,Large Lake Survey,,"Standard gill nets, set shallow in stratified assessment",,,<100,6,10,2,,
adult_abundance,Minnesota,black_crappie,Large Lake Survey,,"Standard gill nets, set shallow in stratified assessment",,,100-300,6,10,3,,
adult_abundance,Minnesota,black_crappie,Large Lake Survey,,"Standard gill nets, set shallow in stratified assessment",,,1501+,6,10,5,,
adult_abundance,Minnesota,black_crappie,Large Lake Survey,,"Standard gill nets, set shallow in stratified assessment",,,301-600,6,10,3,,
adult_abundance,Minnesota,black_crappie,Large Lake Survey,,"Standard gill nets, set shallow in stratified assessment",,,601-1500,6,10,3,,
adult_abundance,Minnesota,black_crappie,Population Assessment,,"Standard gill nets, set shallow in stratified assessment",,,<100,6,10,2,,
adult_abundance,Minnesota,black_crappie,Population Assessment,,"Standard gill nets, set shallow in stratified assessment",,,100-300,6,10,3,,
adult_abundance,Minnesota,black_crappie,Population Assessment,,"Standard gill nets, set shallow in stratified assessment",,,1501+,6,10,5,,
adult_abundance,Minnesota,black_crappie,Population Assessment,,"Standard gill nets, set shallow in stratified assessment",,,301-600,6,10,3,,
adult_abundance,Minnesota,black_crappie,Population Assessment,,"Standard gill nets, set shallow in stratified assessment",,,601-1500,6,10,3,,
adult_abundance,Minnesota,black_crappie,Standard Survey,,"Standard gill nets, set shallow in stratified assessment",,,<100,6,10,2,,
adult_abundance,Minnesota,black_crappie,Standard Survey,,"Standard gill nets, set shallow in stratified assessment",,,100-300,6,10,3,,
adult_abundance,Minnesota,black_crappie,Standard Survey,,"Standard gill nets, set shallow in stratified assessment",,,1501+,6,10,5,,
adult_abundance,Minnesota,black_crappie,Standard Survey,,"Standard gill nets, set shallow in stratified assessment",,,301-600,6,10,3,,
adult_abundance,Minnesota,black_crappie,Standard Survey,,"Standard gill nets, set shallow in stratified assessment",,,601-1500,6,10,3,,
adult_abundance,Minnesota,bluegill,HISTORICAL,,"Standard 3/4-in mesh, double frame trap net sets",,,<100,6,10,4,,
adult_abundance,Minnesota,bluegill,HISTORICAL,,"Standard 3/4-in mesh, double frame trap net sets",,,100-300,6,10,4,,
adult_abundance,Minnesota,bluegill,HISTORICAL,,"Standard 3/4-in mesh, double frame trap net sets",,,1501+,6,10,4,,
adult_abundance,Minnesota,bluegill,HISTORICAL,,"Standard 3/4-in mesh, double frame trap net sets",,,301-600,6,10,4,,
adult_abundance,Minnesota,bluegill,HISTORICAL,,"Standard 3/4-in mesh, double frame trap net sets",,,601-1500,6,10,4,,
adult_abundance,Minnesota,bluegill,Large Lake Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,<100,6,10,4,,
adult_abundance,Minnesota,bluegill,Large Lake Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,100-300,6,10,4,,
adult_abundance,Minnesota,bluegill,Large Lake Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,1501+,6,10,4,,
adult_abundance,Minnesota,bluegill,Large Lake Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,301-600,6,10,4,,
adult_abundance,Minnesota,bluegill,Large Lake Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,601-1500,6,10,4,,
adult_abundance,Minnesota,bluegill,Population Assessment,,"Standard 3/4-in mesh, double frame trap net sets",,,<100,6,10,4,,
adult_abundance,Minnesota,bluegill,Population Assessment,,"Standard 3/4-in mesh, double frame trap net sets",,,100-300,6,10,4,,
adult_abundance,Minnesota,bluegill,Population Assessment,,"Standard 3/4-in mesh, double frame trap net sets",,,1501+,6,10,4,,
adult_abundance,Minnesota,bluegill,Population Assessment,,"Standard 3/4-in mesh, double frame trap net sets",,,301-600,6,10,4,,
adult_abundance,Minnesota,bluegill,Population Assessment,,"Standard 3/4-in mesh, double frame trap net sets",,,601-1500,6,10,4,,
adult_abundance,Minnesota,bluegill,Standard Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,<100,6,10,4,,
adult_abundance,Minnesota,bluegill,Standard Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,100-300,6,10,4,,
adult_abundance,Minnesota,bluegill,Standard Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,1501+,6,10,4,,
adult_abundance,Minnesota,bluegill,Standard Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,301-600,6,10,4,,
adult_abundance,Minnesota,bluegill,Standard Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,601-1500,6,10,4,,
adult_abundance,Minnesota,bluegill,HISTORICAL,,Standard gill net sets,,,<100,6,10,2,,
adult_abundance,Minnesota,bluegill,HISTORICAL,,Standard gill net sets,,,100-300,6,10,3,,
adult_abundance,Minnesota,bluegill,HISTORICAL,,Standard gill net sets,,,1501+,6,10,5,,
adult_abundance,Minnesota,bluegill,HISTORICAL,,Standard gill net sets,,,301-600,6,10,3,,
adult_abundance,Minnesota,bluegill,HISTORICAL,,Standard gill net sets,,,601-1500,6,10,3,,
adult_abundance,Minnesota,bluegill,Large Lake Survey,,Standard gill net sets,,,<100,6,10,2,,
adult_abundance,Minnesota,bluegill,Large Lake Survey,,Standard gill net sets,,,100-300,6,10,3,,
adult_abundance,Minnesota,bluegill,Large Lake Survey,,Standard gill net sets,,,1501+,6,10,5,,
adult_abundance,Minnesota,bluegill,Large Lake Survey,,Standard gill net sets,,,301-600,6,10,3,,
adult_abundance,Minnesota,bluegill,Large Lake Survey,,Standard gill net sets,,,601-1500,6,10,3,,
adult_abundance,Minnesota,bluegill,Population Assessment,,Standard gill net sets,,,100-300,6,10,3,,
adult_abundance,Minnesota,bluegill,Population Assessment,,Standard gill net sets,,,1501+,6,10,5,,
adult_abundance,Minnesota,bluegill,Population Assessment,,Standard gill net sets,,,301-600,6,10,3,,
adult_abundance,Minnesota,bluegill,Population Assessment,,Standard gill net sets,,,601-1500,6,10,3,,
adult_abundance,Minnesota,bluegill,Population Assessment,,Standard gill net sets,,,<100,6,10,2,,
adult_abundance,Minnesota,bluegill,Standard Survey,,Standard gill net sets,,,<100,6,10,2,,
adult_abundance,Minnesota,bluegill,Standard Survey,,Standard gill net sets,,,100-300,6,10,3,,
adult_abundance,Minnesota,bluegill,Standard Survey,,Standard gill net sets,,,1501+,6,10,5,,
adult_abundance,Minnesota,bluegill,Standard Survey,,Standard gill net sets,,,301-600,6,10,3,,
adult_abundance,Minnesota,bluegill,Standard Survey,,Standard gill net sets,,,601-1500,6,10,3,,
adult_abundance,Minnesota,bluegill,HISTORICAL,,"Standard gill nets, set shallow in stratified assessment",,,<100,6,10,2,,
adult_abundance,Minnesota,bluegill,HISTORICAL,,"Standard gill nets, set shallow in stratified assessment",,,100-300,6,10,3,,
adult_abundance,Minnesota,bluegill,HISTORICAL,,"Standard gill nets, set shallow in stratified assessment",,,1501+,6,10,5,,
adult_abundance,Minnesota,bluegill,HISTORICAL,,"Standard gill nets, set shallow in stratified assessment",,,301-600,6,10,3,,
adult_abundance,Minnesota,bluegill,HISTORICAL,,"Standard gill nets, set shallow in stratified assessment",,,601-1500,6,10,3,,
adult_abundance,Minnesota,bluegill,Large Lake Survey,,"Standard gill nets, set shallow in stratified assessment",,,<100,6,10,2,,
adult_abundance,Minnesota,bluegill,Large Lake Survey,,"Standard gill nets, set shallow in stratified assessment",,,100-300,6,10,3,,
adult_abundance,Minnesota,bluegill,Large Lake Survey,,"Standard gill nets, set shallow in stratified assessment",,,1501+,6,10,5,,
adult_abundance,Minnesota,bluegill,Large Lake Survey,,"Standard gill nets, set shallow in stratified assessment",,,301-600,6,10,3,,
adult_abundance,Minnesota,bluegill,Large Lake Survey,,"Standard gill nets, set shallow in stratified assessment",,,601-1500,6,10,3,,
adult_abundance,Minnesota,bluegill,Population Assessment,,"Standard gill nets, set shallow in stratified assessment",,,<100,6,10,2,,
adult_abundance,Minnesota,bluegill,Population Assessment,,"Standard gill nets, set shallow in stratified assessment",,,100-300,6,10,3,,
adult_abundance,Minnesota,bluegill,Population Assessment,,"Standard gill nets, set shallow in stratified assessment",,,1501+,6,10,5,,
adult_abundance,Minnesota,bluegill,Population Assessment,,"Standard gill nets, set shallow in stratified assessment",,,301-600,6,10,3,,
adult_abundance,Minnesota,bluegill,Population Assessment,,"Standard gill nets, set shallow in stratified assessment",,,601-1500,6,10,3,,
adult_abundance,Minnesota,bluegill,Standard Survey,,"Standard gill nets, set shallow in stratified assessment",,,<100,6,10,2,,
adult_abundance,Minnesota,bluegill,Standard Survey,,"Standard gill nets, set shallow in stratified assessment",,,100-300,6,10,3,,
adult_abundance,Minnesota,bluegill,Standard Survey,,"Standard gill nets, set shallow in stratified assessment",,,1501+,6,10,5,,
adult_abundance,Minnesota,bluegill,Standard Survey,,"Standard gill nets, set shallow in stratified assessment",,,301-600,6,10,3,,
adult_abundance,Minnesota,bluegill,Standard Survey,,"Standard gill nets, set shallow in stratified assessment",,,601-1500,6,10,3,,
adult_abundance,Minnesota,cisco,HISTORICAL,,"Standard 3/4-in mesh, double frame trap net sets",,,<100,6,10,4,,
adult_abundance,Minnesota,cisco,HISTORICAL,,"Standard 3/4-in mesh, double frame trap net sets",,,100-300,6,10,4,,
adult_abundance,Minnesota,cisco,HISTORICAL,,"Standard 3/4-in mesh, double frame trap net sets",,,1501+,6,10,4,,
adult_abundance,Minnesota,cisco,HISTORICAL,,"Standard 3/4-in mesh, double frame trap net sets",,,301-600,6,10,4,,
adult_abundance,Minnesota,cisco,HISTORICAL,,"Standard 3/4-in mesh, double frame trap net sets",,,601-1500,6,10,4,,
adult_abundance,Minnesota,cisco,Large Lake Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,<100,6,10,4,,
adult_abundance,Minnesota,cisco,Large Lake Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,100-300,6,10,4,,
adult_abundance,Minnesota,cisco,Large Lake Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,1501+,6,10,4,,
adult_abundance,Minnesota,cisco,Large Lake Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,301-600,6,10,4,,
adult_abundance,Minnesota,cisco,Large Lake Survey,,"Standard 3/4-in mesh, double frame trap net sets",,,601-1500,6,10,4,,
adult_abundance,Minnesota,cisco,Population Assessment,,"Standard 3/4-in mesh, double frame trap net sets",,,<100,6,10,4,,
adult_abundance,Minnesota,cisco,Population Assessment,,"Standard 3/4-in mesh, double frame trap net sets",,,100-300,6,10,4,,
adult_abundance,Minnesota,cisco,Population Assessment,,"Standard 3/4-in mesh, double frame trap net sets",,,1501+,6,10,4,,
adult_abundance,Minnesota,cisco,Population Assessment,,"Standard 3/4-in mesh, double frame trap net sets",,,301-600,6,10,4,,
